,name,x,y,z,class,size
600,Ktaria VII,16.082546907819008,7.267087161001628,61.72490208487257,M,14
601,Gagarin IV,65.15194668022647,7.707801195146069,73.94082298313118,M,13
602,Kessik IV,32.59254639520749,34.03800926666749,21.466786397253678,C,7
603,Psi Upsilon III and IV,59.02639388856225,86.6386514251342,66.49945162377738,B,15
604,Castal I,43.32467489716556,21.552986879133186,49.8040393056869,C,7
605,Iconia,98.4351407402904,36.037781993034756,74.28249749063163,A,6
606,Theta Omicron IV,14.958064266756576,6.8505406626979575,32.704464415181775,B,2
607,Omega Cygni,46.459859663581014,76.31552912588894,89.00570254652526,A,9
608,Vendikar,68.04566263593253,40.83063427594511,8.430131461135037,C,17
609,Quinor VII,39.55450838799687,75.92487330608428,80.7189318791188,B,5
610,Sarpeidon V,97.46998518706899,90.3607844346795,86.13196258150909,A,12
611,Ligobis X,72.18876279269351,23.276314710128876,81.72523113668213,C,1
612,Mavala IV,65.69838575644931,80.73960303399514,51.272639426177605,C,10
613,Erabus Prime,75.70592676112233,5.909389007825327,43.83849800307613,B,11
614,Teplan system,95.2648638038717,89.88473881802473,99.62622865248768,C,16
615,Meles II,90.78186529846401,65.07685475587473,22.917195121416214,M,14
616,Evora homeworld,72.42853081264118,87.42267241383516,54.68759658760446,A,8
617,Ledonia III,74.9161639101283,0.018839955658189744,67.06755253823256,A,17
618,Tycho IV,14.592207403514546,16.90810703559925,70.08676358614319,C,18
619,Caldik Prime,10.279240449266569,38.975938742649205,20.40246657385787,C,12
620,Zeon,57.09045018441643,37.950290337471856,65.39940923398012,M,17
621,Paraagan homeworld,1.836763694054,22.673038292351066,81.83695664813374,B,14
622,Yadalla Prime,48.23563815515916,38.16119398672001,5.001857682111222,C,16
623,Oceanus IV,21.03495799188686,12.884871200025483,91.15212933253164,C,14
624,Tarok,34.601656764483955,41.27611292660261,2.950405514520593,C,9
625,Selek IV,77.5804735792956,80.23543291592642,35.59710324883943,C,4
626,Cestus III,94.12375042323865,47.90700631033512,1.5813196232962068,A,11
627,Casperia Prime,7.24162721463415,1.8000088945214987,7.7145168539581865,C,6
628,Cirrus IV,53.42422059764451,42.14440415792474,91.1168285180079,A,15
629,Largo V,88.25334858196,2.717501609084416,35.48608307461478,C,5
630,Tarchannen III,8.250853444042129,96.62434107067982,42.477153042505286,B,11
631,Orias III,82.45140468968339,12.745395942286898,21.53443813825526,M,18
632,Trebus,35.78013509282714,70.76883263306188,59.70957701867198,B,13
633,Starbase 153,32.209470221933536,97.27763228920858,59.480321467778964,C,11
634,Denobula,97.74663863147858,82.60390516665719,37.22003918252192,C,14
635,Ullian homeworld,20.085908986229416,69.93153751262037,33.30348718053984,C,18
636,Caldos II,69.31939408226809,83.9460909500767,88.49643081805878,B,19
637,Rigel VII,82.14407280098665,98.17986932606276,38.328423964220136,C,15
638,Selay,4.118349527927167,62.13444972535296,49.35009921544082,B,9
639,Bryma,67.03854583544123,55.918480682932646,28.330476242493063,A,8
640,Hell,95.15499743553269,62.82381104632814,78.67695033571273,M,1
641,Volan II,12.421996672805935,53.2675886761555,39.74481568990916,M,4
642,Malon Prime,89.62213026850382,63.50891059097188,51.36110465443245,B,14
643,Korris I,59.47766373769361,44.98422079725592,25.335717005966142,A,2
644,Heva VII,61.6604581862474,21.84431828833071,98.76595923412518,B,16
645,Alpha III,61.29441748656059,12.024722651167563,29.149574092372287,A,3
646,Soukara,29.883588633731385,6.834093553226039,77.07425309055516,C,8
647,Rigel X,93.52018152994597,26.331578375320007,42.74956503567592,A,6
648,Rigel IV,94.73504626310387,4.6123564335733835,20.62174050841399,A,16
649,Archer IV,62.53046602139478,56.71707799193856,79.97187639648612,A,16
650,Remmil VI,78.34227259416147,28.382844702352028,33.36067890290432,M,7
651,Icarus Prime,61.2257985881158,82.45348080870322,86.5193347397811,A,13
652,Klaestron IV,48.43984475740406,7.424087298838645,91.5257184917823,C,13
653,Mundahla,66.08201182992507,22.635149434148595,85.9823835391276,C,5
654,Dayos IV,55.300145259195844,73.02461470901459,3.500791480680565,C,18
655,Norcadia Prime,59.74758626319301,59.88082963834914,78.73733450051056,A,15
656,Banean homeworld,78.3832553418862,6.449127124916753,41.133946649914385,B,18
657,Praxillus,48.09038314489848,87.72394571622004,87.37229201822251,B,2
658,Delta Vega,4.075410609247276,87.72617628261796,63.795426268473875,C,10
659,Yadera II,16.399948098949725,33.040800387577384,83.36431341439584,M,13
660,Sulvin IV,43.860721648953835,34.04058433495647,49.94317698668353,B,18
661,Minshara,72.48265598740583,98.90283583501738,53.502550459893286,A,15
662,Argelius II,59.32786483101788,62.61761715931382,14.438763213366723,B,12
663,Taranko colony,65.02941858734539,53.13165205680591,78.39873586893555,C,15
