,name,x,y,z,class,size
300,Tarakis,35.38713765612494,75.81850110765373,45.896347937729864,B,18
301,Boradis III,95.86271773132205,74.34237860766093,91.93874045726727,A,6
302,Nelvana III,18.437092067896323,61.194050533733105,17.609547133059465,M,3
303,Simperia,9.033696057760787,10.593071255849296,21.39570386882369,C,13
304,Sha Ka Ree,77.09859255354785,15.15693715876736,1.3029567757083749,A,16
305,Tandar Prime,6.824970535409158,9.375692064555663,1.419004939576718,M,5
306,Gamelan V,83.70789907030294,57.71727832875501,82.93916269585125,A,4
307,Argana II,43.71933963572435,87.71384415114039,73.21226068429559,M,8
308,Ivor Prime,91.5513677291914,43.38005122547718,35.50410564519583,M,19
309,Duronom,72.15328611219056,16.08481739577462,69.83111572275727,C,14
310,Torona IV,61.04046670079576,55.804232514896704,39.52059263099702,A,7
311,Invernia II,94.93067970577657,81.17522168657099,95.28967959978274,B,14
312,Akaali homeworld,39.66493730520543,74.171206151293,96.70526814260349,C,6
313,Ti'Acor,95.40869365396331,88.14507796750213,39.27937758093434,C,12
314,Malur,13.500127742120693,27.790209724886783,85.4221906340868,M,16
315,Gothos,48.37549419324127,19.395386726777485,77.30890416974661,B,17
316,Delta IV,26.99112223921949,87.98164859419387,30.99999371717893,A,13
317,Volan III,53.98427789081934,65.75603127780231,23.2039828901106,B,14
318,Kelis' homeworld,16.20138778915846,31.092893000755417,45.823465039283384,B,7
319,Pendari,84.15296603100434,74.23480505725092,78.13488406144063,B,14
320,Detria,84.64078493145573,81.51183844803678,96.01677847287455,B,15
321,Ogat,95.5236312723479,61.497824034113236,76.35790688665726,B,12
322,Rahm-Izad,15.467214088323622,68.78841098799151,85.520698501837,M,17
323,Alpha Majoris I,62.33325509049907,37.52599044426663,60.30643061705165,M,9
324,Alpha Laputa IV,47.42373087003696,53.86956673430391,83.54078308421259,C,15
325,Cravic homeworld,34.43837320442332,52.415917072616224,78.44208580034177,M,12
326,Moselina system,35.15401611342188,84.80477911307719,37.69855419262801,C,2
327,Rakhar,41.27935506067523,83.99639802821825,55.19903021207211,C,5
328,Beth Delta I,70.4925549688953,83.26804693470432,80.47531219896949,A,13
329,Quatal Prime,59.82860582681546,1.1031614262465794,4.605673418995638,B,8
330,Rura Penthe,45.96815127611311,74.95454844688882,80.80792823558299,M,14
331,Mizar II,7.593341036962209,75.86763901110048,17.788812404902345,A,15
332,Peliar Zel,7.776534407895708,67.83788228551418,51.468361712143896,M,11
333,Nivoch,0.23393906257782593,75.62646578914526,80.82754395559377,C,1
334,Talarian homeworld,96.76993882070865,84.19703714967088,25.382107815669485,M,3
335,Merak II,0.5253818558384915,47.03190541017857,24.580743930615302,B,17
336,Beta Ursae Minoris II,10.309374601374488,50.20502134884472,40.27643984622519,C,19
337,Draygo IV,31.45965568094109,12.471405691139047,89.46427975776345,C,14
338,Deneva,80.74302518167612,38.53758830473618,0.04427814372078842,A,8
339,Galorda Prime,96.20987857641177,64.33651799117843,90.1383096641935,B,13
340,Babel,79.00135587918561,78.03997761472745,15.380702464160779,C,3
341,Tranome Sar,69.05602324456406,21.720909769121054,99.00863760674821,B,5
342,Starbase Montgomery,52.13006674135694,13.78228991592354,95.48469930384681,M,9
343,Kyana Prime,8.67052118621836,66.30420045004922,49.467518959128334,B,6
344,Janus VI,95.81707930039303,0.18798835249106416,51.272024781262814,C,2
345,Tyrellia,75.83924139456815,17.837258430732984,48.154934027585426,A,13
346,Daran V,63.894938533426185,2.9071380343953734,63.54436456595226,C,5
347,Mordan IV,75.90358455388498,16.688511785487094,9.072170223493103,B,8
348,Inavar Prime,72.41033292731386,18.131927992550523,3.2617948341566505,B,1
349,Arloff IX,63.723157978948684,38.76735947503942,5.770292841589885,C,12
350,Galen IV,98.05768001799882,40.2327124686556,44.43653492415144,B,11
351,Tholia,90.33638126360249,87.42624706102377,27.554793921948338,M,7
352,Marva IV,64.66649191171634,51.010971249882516,62.203956237099376,C,15
353,Septimus III,69.31752114569247,72.34047656122863,99.2442289374779,A,11
354,Galador II,5.159580665870999,10.413735792028744,38.63231730764659,C,16
355,Taresia,66.99174645500392,22.543875546369385,57.38412541045134,M,3
356,Vico V,4.4165437710100175,70.29434409786768,41.56038959073355,M,14
357,Rigel III,58.826375696993104,5.280396046852809,84.72716677218594,M,3
358,Nyria III,99.93534995658348,48.65976622437531,90.22364034622382,M,1
359,Valt Minor,55.58065814371796,59.936896566293385,87.73556122052601,M,15
360,Straleb,47.32101180813334,60.214564405248105,97.43722386792577,A,1
361,Quazulu VIII,31.285485650558755,2.293281126804203,2.751918514041529,B,17
362,Prakal II,12.052257878646444,32.21080042291855,83.9816162145531,M,2
363,Seros,73.10236714582817,63.6490651049154,75.17721730390933,M,6
364,Tagus III,19.259902778563042,14.899973614924345,22.86944094003648,C,8
365,Rubicun III,11.528202124728438,69.54156483280532,95.63200933875275,A,16
366,Hayashi,42.17626597305125,74.59252088136745,14.817792822994546,A,19
367,Tarellia,79.53418379590974,98.19691904461453,67.95499271339084,B,1
368,Omicron Ceti III,74.50645481202204,20.984199485640943,22.489021681591247,A,3
369,Ingraham B,5.4882614646474925,82.51306676661152,43.138064877407466,C,3
370,Dimorus,45.51436850361561,52.0296576918654,71.9159896944569,C,5
371,Carraya IV,52.243457607116895,37.34625961441734,56.33246420330467,B,12
372,Paxsor III,64.45466506258222,12.237675732517793,42.75018313281117,C,12
373,Doraf I,65.01673504432281,73.55056064875376,32.63384309319872,M,13
374,Gamma Hromi II,36.46972494573058,23.585759914368708,83.96596557087904,M,9
375,Remus,56.0677194003514,37.142200187304574,14.38143503148137,C,7
376,Wadi,48.10618838440865,6.254222689736844,43.010287652980004,B,4
377,Delios VII,88.4998356523281,80.13669158195191,90.37575717751422,A,19
378,Lazon II,53.02651326349002,76.65885239716434,84.58495504599676,B,19
379,Delphi Ardu IV,44.10321617481616,73.36158300423125,40.09417624730467,A,6
380,Kataan,40.448544968185075,29.94435104918867,76.31083636013084,C,13
381,Ninipia Prime,57.24277594334657,17.348007426595725,82.31608307088592,C,11
382,Felton Prime,80.39769794008976,63.75532644702297,88.88874240036297,M,13
383,Haven,53.840149038078756,49.616638411321944,54.4505769049228,A,13
384,Archer's Planet,66.16551750805415,17.82524669046416,20.44608860547118,B,15
385,Dinaal,73.7855766906525,68.59112710498637,25.530907650393164,C,13
386,Altamid,52.016810987873185,99.11264318213037,29.56946740416042,B,11
387,Elba II,42.68170566548643,74.72195877420377,59.38024808096155,M,19
388,Starbase 11,87.66653778624494,73.99863866856118,3.280962412860844,A,8
389,Takara,41.75060840278921,95.03127529305917,63.60424687799683,A,8
390,Norellus,46.19428505755876,20.29363675749022,36.4354238428232,C,10
391,Ekos,99.03413133417772,56.55499649214404,29.524180248964214,A,16
392,New Sydney,0.02375235758845795,97.96467150338835,87.94965707281264,C,19
393,Galorndon Core,18.547290957672246,16.529411097017455,46.00023955807989,M,11
394,Tessen III,38.39638899197257,70.02519594445211,9.505304553269278,A,13
395,Nessik,93.25899094252529,58.5810145971902,82.6746768026247,C,9
396,Rachelis,7.002970574747103,58.647909218870694,4.76412574365066,B,19
397,Landris II,0.9485433628498074,69.76706275200752,72.67492241681967,C,16
398,Aschelan V,5.268383597722859,92.96169228756843,77.39062217706652,A,7
399,New Vulcan,8.854341061361815,78.2581939851338,35.260260592885814,M,19
400,Finnea Prime,3.759677320626087,5.613610341621,82.47878562777868,A,12
401,Caere,47.97813268565048,85.27280198757113,51.56594058564534,A,15
402,Beta VI,58.07572072273277,22.554132992573262,46.32936532727968,C,14
403,Tau Ceti Prime,27.168697106900407,37.6914164736372,4.540328146869255,B,11
404,Kanda IV,39.828738397563555,46.17328136123822,29.002919364890587,A,10
405,Celtris III,9.169933511143014,48.090600075306966,93.10099708852998,B,11
406,Tazna,33.63704638284221,43.51803992553568,39.18239632835,C,6
407,Persephone V,52.25191916345231,93.73532942158644,54.670052055676834,B,2
408,Capella IV,73.22718071846451,70.60190076640247,53.20216789842518,C,11
